"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"hist_primary"	"hist_secondary"	"match_id"
"786O_KIDNEY"	"786O_KIDNEY"	"786-O"	"CCLE"	"kidney"	"carcinoma"	"clear_cell_renal_cell_carcinoma"	"786O"
"786O_KIDNEY"	"786-O"	NA	"eurofins"	"kidney"	"carcinoma"	"clear_cell_renal_cell_carcinoma"	"786O"
"8305C_THYROID"	"8305C_THYROID"	"8305C"	"CCLE"	"thyroid"	"carcinoma"	"anaplastic_carcinoma"	"8305C"
"8305C_THYROID"	"8305C"	NA	"cosmic_clp"	"thyroid"	"carcinoma"	"anaplastic_carcinoma"	"8305C"
"8305C_THYROID"	"8305C"	"906795"	"gdsc"	"thyroid"	"thyroid"	NA	"8305C"
"8505C_THYROID"	"8505C_THYROID"	"8505C"	"CCLE"	"thyroid"	"carcinoma"	"anaplastic_carcinoma"	"8505C"
"8505C_THYROID"	"8505C"	NA	"cosmic_clp"	"thyroid"	"carcinoma"	"anaplastic_carcinoma"	"8505C"
"8505C_THYROID"	"8505C"	"924102"	"gdsc"	"thyroid"	"thyroid"	NA	"8505C"
"8MGBA_CENTRAL_NERVOUS_SYSTEM"	"8MGBA_CENTRAL_NERVOUS_SYSTEM"	"8-MG-BA"	"CCLE"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"8MGBA"
"8MGBA_CENTRAL_NERVOUS_SYSTEM"	"8-MG-BA"	NA	"cosmic_clp"	"central_nervous_system"	"glioma"	"NS"	"8MGBA"
"8MGBA_CENTRAL_NERVOUS_SYSTEM"	"8-MG-BA"	"687562"	"gdsc"	"nervous_system"	"glioma"	NA	"8MGBA"
"A101D_SKIN"	"A101D_SKIN"	"A101D"	"CCLE"	"skin"	"malignant_melanoma"	"NS"	"A101D"
"A101D_SKIN"	"A101D"	NA	"cosmic_clp"	"skin"	"malignant_melanoma"	"NS"	"A101D"
"A101D_SKIN"	"A101D"	"910921"	"gdsc"	"skin"	"melanoma"	NA	"A101D"
"A101D_SKIN"	"A101D"	NA	"eurofins"	"skin"	"malignant_melanoma"	"NS"	"A101D"
"A1207_CENTRAL_NERVOUS_SYSTEM"	"A1207_CENTRAL_NERVOUS_SYSTEM"	"A1207"	"CCLE"	"central_nervous_system"	"glioma"	"NS"	"A1207"
"A172_CENTRAL_NERVOUS_SYSTEM"	"A172_CENTRAL_NERVOUS_SYSTEM"	"A172"	"CCLE"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"A172"
"A172_CENTRAL_NERVOUS_SYSTEM"	"A172"	NA	"cosmic_clp"	"central_nervous_system"	"glioma"	"NS"	"A172"
"A172_CENTRAL_NERVOUS_SYSTEM"	"A172"	"687563"	"gdsc"	"nervous_system"	"glioma"	NA	"A172"
"A172_CENTRAL_NERVOUS_SYSTEM"	"A172"	NA	"eurofins"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"A172"
"A204_SOFT_TISSUE"	"A204_SOFT_TISSUE"	"A-204"	"CCLE"	"soft_tissue"	"rhabdoid_tumour"	"NS"	"A204"
"A204_SOFT_TISSUE"	"A204"	NA	"cosmic_clp"	"soft_tissue"	"rhabdomyosarcoma"	"NS"	"A204"
"A204_SOFT_TISSUE"	"A204"	"910784"	"gdsc"	"soft_tissue"	"rhabdomyosarcoma"	NA	"A204"
"A204_SOFT_TISSUE"	"A204"	NA	"eurofins"	"soft_tissue"	"rhabdoid_tumour"	"NS"	"A204"
"A2058_SKIN"	"A2058_SKIN"	"A2058"	"CCLE"	"skin"	"malignant_melanoma"	"NS"	"A2058"
"A2058_SKIN"	"A2058"	NA	"cosmic_clp"	"skin"	"malignant_melanoma"	"NS"	"A2058"
"A2058_SKIN"	"A2058"	"906792"	"gdsc"	"skin"	"melanoma"	NA	"A2058"
"A253_SALIVARY_GLAND"	"A253_SALIVARY_GLAND"	"A-253"	"CCLE"	"salivary_gland"	"carcinoma"	"mucoepidermoid_carcinoma"	"A253"
"A253_SALIVARY_GLAND"	"A253"	NA	"cosmic_clp"	"salivary_gland"	"carcinoma"	"mucoepidermoid_carcinoma"	"A253"
"A253_SALIVARY_GLAND"	"A253"	"906794"	"gdsc"	"aero_digestive_tract"	"head_and_neck"	NA	"A253"
"A2780_OVARY"	"A2780_OVARY"	"A2780"	"CCLE"	"ovary"	"carcinoma"	"adenocarcinoma"	"A2780"
"A2780_OVARY"	"A2780"	NA	"cosmic_clp"	"ovary"	"carcinoma"	"adenocarcinoma"	"A2780"
"A2780_OVARY"	"A2780"	"906804"	"gdsc"	"urogenital_system"	"ovary"	NA	"A2780"
"A375_SKIN"	"A375_SKIN"	"A-375"	"CCLE"	"skin"	"malignant_melanoma"	"NS"	"A375"
"A375_SKIN"	"A375"	NA	"cosmic_clp"	"skin"	"malignant_melanoma"	"NS"	"A375"
"A375_SKIN"	"A375"	"906793"	"gdsc"	"skin"	"melanoma"	NA	"A375"
"A375_SKIN"	"A375"	NA	"eurofins"	"skin"	"malignant_melanoma"	"NS"	"A375"
"A388_SKIN"	"A388"	NA	"cosmic_clp"	"skin"	"carcinoma"	"squamous_cell_carcinoma"	"A388"
"A388_SKIN"	"A388"	"910697"	"gdsc"	"skin"	"skin_other"	NA	"A388"
"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"A3/KAW"	"CCLE"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"diffuse_large_B_cell_lymphoma"	"A3KAW"
"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"A3-KAW"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"diffuse_large_B_cell_lymphoma"	"A3KAW"
"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"A3-KAW"	"910935"	"gdsc"	"blood"	"B_cell_lymphoma"	NA	"A3KAW"
"A427_LUNG"	"A427"	NA	"cosmic_clp"	"lung"	"carcinoma"	"NS"	"A427"
"A427_LUNG"	"A427"	"910851"	"gdsc"	"lung"	"lung_NSCLC_not_specified"	NA	"A427"
"A427_LUNG"	"A427"	NA	"eurofins"	"lung"	"carcinoma"	"NS"	"A427"
"A431_SKIN"	"A431"	NA	"cosmic_clp"	"skin"	"carcinoma"	"squamous_cell_carcinoma"	"A431"
"A431_SKIN"	"A431"	"910925"	"gdsc"	"skin"	"skin_other"	NA	"A431"
"A431_SKIN"	"A431"	NA	"eurofins"	"skin"	"carcinoma"	"squamous_cell_carcinoma"	"A431"
"A498_KIDNEY"	"A498_KIDNEY"	"A-498"	"CCLE"	"kidney"	"carcinoma"	"renal_cell_carcinoma"	"A498"
"A498_KIDNEY"	"A498"	NA	"cosmic_clp"	"kidney"	"carcinoma"	"NS"	"A498"
"A498_KIDNEY"	"A498"	"905948"	"gdsc"	"kidney"	"kidney"	NA	"A498"
"A498_KIDNEY"	"A498"	NA	"eurofins"	"kidney"	"carcinoma"	"renal_cell_carcinoma"	"A498"
"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"A4/Fuk"	"CCLE"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"diffuse_large_B_cell_lymphoma"	"A4FUK"
"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"A4-Fuk"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"diffuse_large_B_cell_lymphoma"	"A4FUK"
"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"A4-Fuk"	"910934"	"gdsc"	"blood"	"B_cell_lymphoma"	NA	"A4FUK"
"A549_LUNG"	"A549_LUNG"	"A549"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"A549"
"A549_LUNG"	"A549"	NA	"cosmic_clp"	"lung"	"carcinoma"	"NS"	"A549"
"A549_LUNG"	"A549"	"905949"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"A549"
"A549_LUNG"	"A549"	NA	"eurofins"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"A549"
"A673_BONE"	"A673_BONE"	"A-673"	"CCLE"	"bone"	"Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"NS"	"A673"
"A673_BONE"	"A673"	NA	"cosmic_clp"	"bone"	"Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"NS"	"A673"
"A673_BONE"	"A673"	"684052"	"gdsc"	"soft_tissue"	"rhabdomyosarcoma"	NA	"A673"
"A673_BONE"	"A-673"	NA	"eurofins"	"bone"	"Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"NS"	"A673"
"A7_SKIN"	"A7"	NA	"eurofins"	"skin"	"Skin"	NA	"A7"
"A704_KIDNEY"	"A704_KIDNEY"	"A-704"	"CCLE"	"kidney"	"carcinoma"	"renal_cell_carcinoma"	"A704"
"A704_KIDNEY"	"A704"	NA	"cosmic_clp"	"kidney"	"carcinoma"	"renal_cell_carcinoma"	"A704"
"A704_KIDNEY"	"A704"	"910920"	"gdsc"	"kidney"	"kidney"	NA	"A704"
"ABC1_LUNG"	"ABC1_LUNG"	"ABC-1"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"ABC1"
"ABC1_LUNG"	"ABC-1"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"ABC1"
"ABC1_LUNG"	"ABC-1"	"906791"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"ABC1"
"ACCMESO1_PLEURA"	"ACCMESO1_PLEURA"	"ACC-MESO-1"	"CCLE"	"pleura"	"mesothelioma"	"NS"	"ACCMESO1"
"ACCS_URINARY_TRACT"	"ACCS_URINARY_TRACT"	"ACCS"	"CCLE"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"ACCS"
"ACHN_KIDNEY"	"ACHN_KIDNEY"	"ACHN"	"CCLE"	"kidney"	"carcinoma"	"renal_cell_carcinoma"	"ACHN"
"ACHN_KIDNEY"	"ACHN"	NA	"cosmic_clp"	"kidney"	"carcinoma"	"renal_cell_carcinoma"	"ACHN"
"ACHN_KIDNEY"	"ACHN"	"905950"	"gdsc"	"kidney"	"kidney"	NA	"ACHN"
"ACHN_KIDNEY"	"ACHN"	NA	"eurofins"	"kidney"	"carcinoma"	"renal_cell_carcinoma"	"ACHN"
"ACN_AUTONOMIC_GANGLIA"	"ACN"	NA	"cosmic_clp"	"autonomic_ganglia"	"neuroblastoma"	"NS"	"ACN"
"ACN_AUTONOMIC_GANGLIA"	"ACN"	"906803"	"gdsc"	"nervous_system"	"neuroblastoma"	NA	"ACN"
"AGS_STOMACH"	"AGS_STOMACH"	"AGS"	"CCLE"	"stomach"	"carcinoma"	"adenocarcinoma"	"AGS"
"AGS_STOMACH"	"AGS"	NA	"cosmic_clp"	"stomach"	"carcinoma"	"adenocarcinoma"	"AGS"
"AGS_STOMACH"	"AGS"	"906790"	"gdsc"	"digestive_system"	"stomach"	NA	"AGS"
"AGS_STOMACH"	"AGS"	NA	"eurofins"	"stomach"	"carcinoma"	"adenocarcinoma"	"AGS"
"ALEXANDERCELLS_LIVER"	"ALEXANDERCELLS_LIVER"	"Alexander cells"	"CCLE"	"liver"	"carcinoma"	"hepatocellular_carcinoma"	"ALEXANDERCELLS"
"ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ALL-PO"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_leukaemia"	"ALLPO"
"ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ALL-PO"	"910944"	"gdsc"	"blood"	"lymphoblastic_leukemia"	NA	"ALLPO"
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ALL-SIL"	"CCLE"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_T_cell_leukaemia"	"ALLSIL"
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ALL-SIL"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_T_cell_leukaemia"	"ALLSIL"
"AM38_CENTRAL_NERVOUS_SYSTEM"	"AM38_CENTRAL_NERVOUS_SYSTEM"	"AM-38"	"CCLE"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"AM38"
"AM38_CENTRAL_NERVOUS_SYSTEM"	"AM-38"	NA	"cosmic_clp"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"AM38"
"AM38_CENTRAL_NERVOUS_SYSTEM"	"AM-38"	"910933"	"gdsc"	"nervous_system"	"glioma"	NA	"AM38"
"AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"AML-193"	"CCLE"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"AML193"
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"AMO-1"	"CCLE"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"AMO1"
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"AMO-1"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"AMO1"
"AN3CA_ENDOMETRIUM"	"AN3CA_ENDOMETRIUM"	"AN3 CA"	"CCLE"	"endometrium"	"carcinoma"	"adenocarcinoma"	"AN3CA"
"AN3CA_ENDOMETRIUM"	"AN3-CA"	NA	"cosmic_clp"	"endometrium"	"carcinoma"	"adenocarcinoma"	"AN3CA"
"AN3CA_ENDOMETRIUM"	"AN3-CA"	"910781"	"gdsc"	"urogenital_system"	"endometrium"	NA	"AN3CA"
"AN3CA_ENDOMETRIUM"	"AN3 CA"	NA	"eurofins"	"endometrium"	"carcinoma"	"adenocarcinoma"	"AN3CA"
"ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ARH-77"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"ARH77"
"ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ARH-77"	"906765"	"gdsc"	"blood"	"Myeloma"	NA	"ARH77"
"ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ARH-77"	NA	"eurofins"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"ARH77"
"ASH3_THYROID"	"ASH-3"	NA	"cosmic_clp"	"thyroid"	"carcinoma"	"NS"	"ASH3"
"ASPC1_PANCREAS"	"ASPC1_PANCREAS"	"AsPC-1"	"CCLE"	"pancreas"	"carcinoma"	"ductal_carcinoma"	"ASPC1"
"ASPC1_PANCREAS"	"AsPC-1"	NA	"cosmic_clp"	"pancreas"	"carcinoma"	"ductal_carcinoma"	"ASPC1"
"ASPC1_PANCREAS"	"AsPC-1"	"910702"	"gdsc"	"pancreas"	"pancreas"	NA	"ASPC1"
"ASPC1_PANCREAS"	"AsPC-1"	NA	"eurofins"	"pancreas"	"carcinoma"	"ductal_carcinoma"	"ASPC1"
"ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ATN-1"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_T_cell_leukaemia"	"ATN1"
"ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ATN-1"	"910687"	"gdsc"	"blood"	"lymphoblastic_T_cell_leukaemia"	NA	"ATN1"
"AU565_BREAST"	"AU565_BREAST"	"AU565"	"CCLE"	"breast"	"carcinoma"	"NS"	"AU565"
"AU565_BREAST"	"AU565"	NA	"cosmic_clp"	"breast"	"carcinoma"	"NS"	"AU565"
"AU565_BREAST"	"AU565"	"910704"	"gdsc"	"breast"	"breast"	NA	"AU565"
"AU565_BREAST"	"AU565"	NA	"eurofins"	"breast"	"carcinoma"	"NS"	"AU565"
"AZ521_STOMACH"	"AZ521_STOMACH"	"AZ-521"	"CCLE"	"stomach"	"carcinoma"	"NS"	"AZ521"
"BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BALL-1"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_B_cell_leukaemia"	"BALL1"
"BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BALL-1"	"910705"	"gdsc"	"blood"	"B_cell_leukemia"	NA	"BALL1"
"BB30HNC_UPPER_AERODIGESTIVE_TRACT"	"BB30-HNC"	NA	"cosmic_clp"	"upper_aerodigestive_tract"	"carcinoma"	"squamous_cell_carcinoma"	"BB30HNC"
"BB30HNC_UPPER_AERODIGESTIVE_TRACT"	"BB30-HNC"	"753531"	"gdsc"	"aero_digestive_tract"	"head_and_neck"	NA	"BB30HNC"
"BB49HNC_UPPER_AERODIGESTIVE_TRACT"	"BB49-HNC"	NA	"cosmic_clp"	"upper_aerodigestive_tract"	"carcinoma"	"squamous_cell_carcinoma"	"BB49HNC"
"BB49HNC_UPPER_AERODIGESTIVE_TRACT"	"BB49-HNC"	"753532"	"gdsc"	"aero_digestive_tract"	"head_and_neck"	NA	"BB49HNC"
"BB65RCC_KIDNEY"	"BB65-RCC"	NA	"cosmic_clp"	"kidney"	"carcinoma"	"clear_cell_renal_cell_carcinoma"	"BB65RCC"
"BB65RCC_KIDNEY"	"BB65-RCC"	"753533"	"gdsc"	"kidney"	"kidney"	NA	"BB65RCC"
"BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BC-1"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"B_cell_lymphoma_unspecified"	"BC1"
"BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BC-1"	"910919"	"gdsc"	"blood"	"B_cell_lymphoma"	NA	"BC1"
"BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BC-1"	NA	"eurofins"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"B_cell_lymphoma_unspecified"	"BC1"
"BC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BC-3"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"B_cell_lymphoma_unspecified"	"BC3"
"BC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BC-3"	"910918"	"gdsc"	"blood"	"B_cell_lymphoma"	NA	"BC3"
"BC3C_URINARY_TRACT"	"BC3C_URINARY_TRACT"	"BC-3C"	"CCLE"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"BC3C"
"BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BCP-1"	"CCLE"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"B_cell_lymphoma_unspecified"	"BCP1"
"BCPAP_THYROID"	"BCPAP_THYROID"	"B-CPAP"	"CCLE"	"thyroid"	"carcinoma"	"papillary_carcinoma"	"BCPAP"
"BCPAP_THYROID"	"BCPAP"	NA	"cosmic_clp"	"thyroid"	"carcinoma"	"papillary_carcinoma"	"BCPAP"
"BCPAP_THYROID"	"BCPAP"	"924104"	"gdsc"	"thyroid"	"thyroid"	NA	"BCPAP"
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BDCM"	"CCLE"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_B_cell_leukaemia"	"BDCM"
"BE13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BE-13"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_leukaemia"	"BE13"
"BE13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BE-13"	"906763"	"gdsc"	"blood"	"lymphoblastic_leukemia"	NA	"BE13"
"BE2C_CENTRAL_NERVOUS_SYSTEM"	"BE(2)C"	NA	"eurofins"	"central_nervous_system"	"CNS (Brain)"	NA	"BE2C"
"BE2M17_AUTONOMIC_GANGLIA"	"BE2-M17"	NA	"cosmic_clp"	"autonomic_ganglia"	"neuroblastoma"	"NS"	"BE2M17"
"BECKER_CENTRAL_NERVOUS_SYSTEM"	"BECKER_CENTRAL_NERVOUS_SYSTEM"	"Becker"	"CCLE"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"BECKER"
"BECKER_CENTRAL_NERVOUS_SYSTEM"	"Becker"	NA	"cosmic_clp"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"BECKER"
"BECKER_CENTRAL_NERVOUS_SYSTEM"	"Becker"	"906746"	"gdsc"	"nervous_system"	"glioma"	NA	"BECKER"
"BEN_LUNG"	"BEN_LUNG"	"BEN"	"CCLE"	"lung"	"carcinoma"	"NS"	"BEN"
"BEN_LUNG"	"BEN"	NA	"cosmic_clp"	"lung"	"carcinoma"	"NS"	"BEN"
"BEN_LUNG"	"BEN"	"753534"	"gdsc"	"lung"	"lung_NSCLC_not_specified"	NA	"BEN"
"BEWO_PLACENTA"	"BeWo"	NA	"eurofins"	"placenta"	"Female GU (Placenta)"	NA	"BEWO"
"BFTC905_URINARY_TRACT"	"BFTC905_URINARY_TRACT"	"BFTC-905"	"CCLE"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"BFTC905"
"BFTC905_URINARY_TRACT"	"BFTC-905"	NA	"cosmic_clp"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"BFTC905"
