CCLE name	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Notes	Source	Expression arrays	SNP arrays	Oncomap	Hybrid Capture Sequencing
DMS79_LUNG	DMS 79			lung	carcinoma	small_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H10_296176	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D08_246696	yes	yes
DU4475_BREAST	DU4475		F	breast	carcinoma	ductal_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F10_436454	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C01_411060	yes	yes
DV90_LUNG	DV-90		M	lung	carcinoma	adenocarcinoma		DSMZ	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C03_454616	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C07_464566	yes	yes
EBC1_LUNG	EBC-1		M	lung	carcinoma	squamous_cell_carcinoma		RIKEN	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G12_436484	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A07_437582	yes	yes
EFM192A_BREAST	EFM-192A		F	breast	carcinoma	NS		DSMZ	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B11_240894	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H09_246794	yes	yes
EFM19_BREAST	EFM-19		F	breast	carcinoma	ductal_carcinoma		DSMZ	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_A05_295998	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E11_246726	yes	yes
EPLC272H_LUNG	EPLC-272H		M	lung	carcinoma	squamous_cell_carcinoma		DSMZ	CASED_p_NCLE_RNA4_HG-U133_Plus_2_H05_383766	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H04_293454	yes	yes
EVSAT_BREAST	EVSA-T		F	breast	carcinoma	NS		DSMZ	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D05_240930	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C08_256064	yes	yes
HARA_LUNG	HARA		M	lung	carcinoma	squamous_cell_carcinoma		HSRRB	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A03_383722	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B06_335222	yes	yes
HCC1143_BREAST	HCC1143		F	breast	carcinoma	ductal_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_E02_383668	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B11_410900	yes	yes
HCC1171_LUNG	HCC-1171		M	lung	carcinoma	non_small_cell_carcinoma		KCLB	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_G05_698912	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_C04_592644	yes	yes
HCC1187_BREAST	HCC1187		F	breast	carcinoma	ductal_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_G09_383594	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B11_437316	yes	yes
HCC1195_LUNG	HCC-1195		M	lung	carcinoma	mixed_adenosquamous_carcinoma		KCLB	GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_A11_587596	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_E02_592714	yes	yes
HCC1359_LUNG	HCC-1359		F	lung	carcinoma	large_cell_carcinoma		KCLB	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A12_569494		yes	yes
HCC1395_BREAST	HCC1395		F	breast	carcinoma	ductal_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_E12_383706	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H12_335378	yes	yes
HCC1419_BREAST	HCC1419		F	breast	carcinoma	ductal_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A07_474600	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A08_464616	yes	yes
HCC1428_BREAST	HCC1428		F	breast	carcinoma	NS		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A12_474732	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F08_698666	yes	yes
HCC1438_LUNG	HCC-1438		M	lung	carcinoma	large_cell_carcinoma		KCLB	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A04_569436		yes	yes
HCC1500_BREAST	HCC1500		F	breast	carcinoma	ductal_carcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D09_523496	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A04_464624	yes	yes
HCC1569_BREAST	HCC1569		F	breast	carcinoma	metaplastic_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_E06_383684	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G07_698658	yes	yes
HCC1588_LUNG	HCC-1588		F	lung	carcinoma	squamous_cell_carcinoma	Identical lines: HCC-1588 and LS513 share high SNP identity. Really is LS513	KCLB	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_F03_698802		yes	yes
HCC1599_BREAST	HCC1599		F	breast	carcinoma	ductal_carcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D10_523634	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H11_464630	yes	yes
HCC15_LUNG	HCC-15		M	lung	carcinoma	squamous_cell_carcinoma		DSMZ	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E01_241138	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H01_293448	yes	yes
HCC1806_BREAST	HCC1806		F	breast	carcinoma	ductal_carcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_A05_523512	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B05_410888	yes	yes
HCC1833_LUNG	HCC-1833			lung	carcinoma	adenocarcinoma		KCLB	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_B01_779640		yes	yes
HCC1897_LUNG	HCC-1897	HCC1897		lung	carcinoma	squamous_cell_carcinoma		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_D01_767822	EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_E08_780228		
HCC1937_BREAST	HCC1937		F	breast	carcinoma	ductal_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_E05_383680	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B04_437302	yes	
HCC1954_BREAST	HCC1954		F	breast	carcinoma	ductal_carcinoma		ATCC	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F08_419788	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A04_437564	yes	yes
HCC202_BREAST	HCC202		F	breast	carcinoma	ductal_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_G10_454732	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B12_437318	yes	yes
HCC2108_LUNG	HCC-2108		M	lung	carcinoma	adenocarcinoma		KCLB	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A09_569560		yes	yes
HCC2157_BREAST	HCC2157		F	breast	carcinoma	ductal_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_B01_436616	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A07_464618	yes	yes
HCC2218_BREAST	HCC2218		F	breast	carcinoma	ductal_carcinoma		ATCC	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_B03_419876	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A05_437578	yes	yes
HCC2279_LUNG	HCC-2279		F	lung	carcinoma	adenocarcinoma		KCLB	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E07_698836	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B12_698578	yes	yes
HCC2814_LUNG	HCC-2814	HCC2814		lung	carcinoma	squamous_cell_carcinoma		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_A12_767798			
HCC2935_LUNG	HCC2935		M	lung	carcinoma	non_small_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D02_474658	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F02_698602	yes	yes
HCC33_LUNG	HCC-33		M	lung	carcinoma	small_cell_carcinoma		DSMZ	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_B10_698916	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G04_490362	yes	yes
HCC364_LUNG	HCC364			lung	carcinoma	adenocarcinoma		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_C07_767802			
HCC366_LUNG	HCC-366		F	lung	carcinoma	mixed_adenosquamous_carcinoma		DSMZ	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_H10_569572	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G01_256146	yes	yes
HCC38_BREAST	HCC38		F	breast	carcinoma	ductal_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F09_436452	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H06_410918	yes	yes
HCC4006_LUNG	HCC4006		M	lung	carcinoma	adenocarcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A11_474652	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A06_464612	yes	yes
HCC44_LUNG	HCC-44		F	lung	carcinoma	adenocarcinoma		DSMZ	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B04_302134	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F01_293400	yes	yes
HCC70_BREAST	HCC70		F	breast	carcinoma	ductal_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C07_454622	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G03_410962	yes	yes
HCC78_LUNG	HCC-78		M	lung	carcinoma	adenocarcinoma		DSMZ	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_C05_296046	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C10_293346	yes	yes
HCC827GR5_LUNG	HCC-827-GR5			lung	carcinoma	adenocarcinoma		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_D05_767812			
HCC827_LUNG	HCC827		F	lung	carcinoma	adenocarcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B05_523590	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G03_542786	yes	yes
HCC95_LUNG	HCC-95		M	lung	carcinoma	squamous_cell_carcinoma		KCLB	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A01_569468	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_E08_592780	yes	yes
HDQP1_BREAST	HDQ-P1		F	breast	carcinoma	ductal_carcinoma		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_H05_523478	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E02_490412	yes	
HLC1_LUNG	HLC-1			lung	carcinoma	adenocarcinoma	Identical lines: HMC-1-8 and HLC-1 share high SNP identity and are probably lung.	RIKEN	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E08_698868	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_F11_592724	yes	
HLFA_LUNG	HLF-a		F	lung	carcinoma	squamous_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B01_296014	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F08_437208	yes	yes
HMC18_BREAST	HMC-1-8		F	breast	carcinoma	NS	Identical lines: HMC-1-8 and HLC-1 share high SNP identity and are probably lung.	HSRRB	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_H08_419840	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A10_437568	yes	yes
HMEL_BREAST	HMEL			breast	other	immortalized_epithelial		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_A04_767910	EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G07_780268		
HS229T_LUNG	Hs 229.T		M	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E03_454660	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F01_464686	yes	yes
HS274T_BREAST	Hs 274.T		F	breast	carcinoma	NS		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B05_474706	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C04_542930	yes	
HS281T_BREAST	Hs 281.T		F	breast	carcinoma	NS		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A09_474590	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D05_542840	yes	yes
HS343T_BREAST	Hs 343.T		F	breast	carcinoma	NS		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D01_474640	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G05_578300	yes	yes
HS578T_BREAST	Hs 578T		F	breast	carcinoma	ductal_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_C01_383628	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F02_335310	yes	yes
HS606T_BREAST	Hs 606.T		F	breast	carcinoma	NS		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H08_296172	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A11_437328	yes	
HS618T_LUNG	Hs 618.T		F	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H06_436442	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D09_437422	yes	yes
HS739T_BREAST	Hs 739.T		F	breast	carcinoma	NS		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E11_436480	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D01_437282	yes	yes
HS742T_BREAST	Hs 742.T		F	breast	carcinoma	NS		ATCC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A01_698800	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E08_578426	yes	yes
IALM_LUNG	IA-LM		M	lung	carcinoma	large_cell_carcinoma		RIKEN	CASED_p_NCLE_RNA4_HG-U133_Plus_2_F11_383686	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A01_437562	yes	yes
JIMT1_BREAST	JIMT-1		F	breast	carcinoma	ductal_carcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_H09_474734	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B07_490458	yes	yes
KNS62_LUNG	KNS-62		M	lung	carcinoma	squamous_cell_carcinoma		HSRRB	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B12_383632	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A10_335206	yes	yes
KPL1_BREAST	KPL-1		F	breast	carcinoma	ductal_carcinoma	Identical lines: MCF-7 and KPL-1 share high SNP identity	DSMZ	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A12_698746	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E09_698572	yes	yes
LC1F_LUNG	LC-1F		M	lung	carcinoma	squamous_cell_carcinoma	Identical lines: LC-1/sq-SF and LC-1F share high SNP identity.	RIKEN	GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_F02_587572	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F01_578430	yes	yes
LC1SQSF_LUNG	LC-1/sq-SF	LC-1 sq	M	lung	carcinoma	squamous_cell_carcinoma	Identical lines: LC-1/sq-SF and LC-1F share high SNP identity.	RIKEN	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G03_569408	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D06_293362	yes	yes
LCLC103H_LUNG	LCLC-103H		M	lung	carcinoma	large_cell_carcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E02_474726	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G07_490368	yes	yes
LCLC97TM1_LUNG	LCLC-97TM1		M	lung	carcinoma	large_cell_carcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E10_474630	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B01_578428	yes	yes
LK2_LUNG	LK-2		M	lung	carcinoma	squamous_cell_carcinoma		RIKEN	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D11_240942	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C02_246660	yes	yes
LOUNH91_LUNG	LOU-NH91		F	lung	carcinoma	squamous_cell_carcinoma		DSMZ	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D09_240938	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B04_246640	yes	yes
LU65_LUNG	LU65		M	lung	carcinoma	non_small_cell_carcinoma		HSRRB	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E10_436478	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E02_464726	yes	yes
LU99_LUNG	LU99	LU99A	M	lung	carcinoma	large_cell_carcinoma		HSRRB	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_B12_419712	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C03_437544	yes	yes
LUDLU1_LUNG	LUDLU-1		M	lung	carcinoma	squamous_cell_carcinoma		ECACC	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_H03_419816	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A03_437566	yes	yes
LXF289_LUNG	LXF-289		M	lung	carcinoma	adenocarcinoma		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_G02_523642	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G10_542940	yes	yes
MB157_BREAST	MB 157		F	breast	carcinoma	NS		ATCC			yes	
MCF7_BREAST	MCF7		F	breast	carcinoma	NS	Identical lines: MCF-7 and KPL-1 share high SNP identity	ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_G05_454738	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B09_437556	yes	yes
MDAMB134VI_BREAST	MDA-MB-134-VI		F	breast	carcinoma	ductal_carcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D08_523486	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_B09_592874	yes	yes
MDAMB157_BREAST	MDA-MB-157	MB 157	F	breast	carcinoma	ductal_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_H12_454750	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D06_437288	yes	
